Name,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Genus,Species,Population size,Life span,Top speed,Weight,Height,Length,Attributes,Distribution,Habits,Diet,Mating_Habits,Population
Grey Wolf,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,Canis,Canis lupus,"400,000",10-20 yrs,75 km/h,16-60 kg,80-85 cm,105-160 cm,"Nocturnal,Carnivore,Scavenger,Terrestrial,Cursorial,Altricial,Pack hunters,Apex predator,Pursuit predator,Nomadic,Territorial,Viviparous,Pack hunters,Ambush predator,Monogamy,Social,Dominance hierarchy,Not a migrant,starts with,Dangerous Animals","{'Geography': {'Continents': 'Asia, Europe, North America, Africa', 'Subcontinents': 'South Asia, Western Asia, Southeast Asia, East Asia, Central Asia, North Africa', 'Countries': 'Albania, Armenia, Azerbaijan, Belarus, Bhutan, Bosnia and Herzegovina, Bulgaria, Canada, China, Croatia,', 'Regions': 'Czech Republic, Estonia, Finland, France, Georgia, Germany, Greece, Hungary, India, Iran, Iraq, Israel, Italy, Jordan, Kazakhstan, North Korea, South Korea, Kyrgyzstan, Latvia, Libya, Lithuania, Macedonia, Mexico, Moldova, Mongolia, Montenegro, Myanmar, Nepal, Norway, Oman, Pakistan, Poland, Portugal, Romania, Russia, Saudi Arabia,  Serbia, Slovakia, Slovenia, Spain, Sweden, Syria, Tajikistan, Turkey, Turkmenistan, Ukraine, United Arab Emirates, United States, Uzbekistan, Yemen, Bangladesh, Afghanistan', 'Biogeographical realms': 'Greenland', 'Wwf biomes': 'Nearctic, Palearctic, Indomalayan, Afrotropical'}, 'Biome': ['Wetlands ', 'Shrubland', 'Forest', 'Mountains', 'Anthropogenic biome', 'Grassland', 'Rocky areas ', 'Agricultural'], 'Climate': ['Temperate', 'Cold', 'Polar', 'Tropical']}","{'Group name': 'pack, route, rout  Terrestrial, Cursorial, Altricial, Pack hunters, Apex predator, Pursuit predator, Nomadic, Territorial, Viviparous, Pack hunters, Ambush predator', 'Lifestyle': 'Not a migrant'}","Carnivore,,Scavenger","{'Mating behavior': 'Monogamy', 'Reproduction season': 'January-April', 'Pregnancy duration': '60-63 days', 'Baby carrying': '1-14 pups', 'Independent age': '45 days', 'Female name': 'bitch', 'Male name': 'dog', 'Baby name': 'pup, whelp'}","{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Brown Bear,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Ursidae,Ursus,Ursus arctos,"200,000",20-50 yrs,56 km/h,100-635 kg,70-153 cm,1.4-2.8 m,"Crepuscular,Omnivore,Terrestrial,Altricial,Nomadic,Territorial,Burrowing,Polygynandry,Serial monogamy,Dangerous,Solitary,Hibernating,Migrating,starts with,Lucky Animals,Canada Province Animals","{'Geography': {'Continents': 'Asia, Europe, North America', 'Subcontinents': 'South Asia, Western Asia, East Asia, Central Asia, Southeast Asia', 'Countries': 'Albania, Armenia, Austria, Azerbaijan, Belarus, Bosnia and Herzegovina, Bulgaria, Canada, China, Croatia,', 'Biogeographical realms': 'Estonia, Finland, France, Georgia, Greece, India, Iran, Iraq, Italy, Japan, Kazakhstan, North Korea, Kyrgyzstan, Latvia, Macedonia, Mongolia, Montenegro, Nepal, Norway, Pakistan, Poland, Romania, Russia, Serbia, Slovakia, Slovenia, Spain, Sweden, Tajikistan, Turkey, Ukraine, United States, Uzbekistan, Bhutan, Lebanon, Afghanistan', 'Wwf biomes': 'Nearctic, Palearctic, Indomalayan'}, 'Biome': ['Forest', 'Woodland'], 'Climate': ['Temperate', 'Cold', 'Polar']}","{'Group name': 'sloth, sleuth', 'Lifestyle': 'Terrestrial, Altricial, Nomadic, Territorial, Burrowing', 'Seasonal behavior': 'Hibernating, Migrating'}",Omnivore,"{'Mating behavior': 'Polygynandry,', 'Reproduction season': 'May-July', 'Pregnancy duration': '8 weeks', 'Baby carrying': '1-4 cubs', 'Independent age': '2-4 years', 'Female name': 'sow', 'Male name': 'boar', 'Baby name': 'cub'}","{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Koala,Animalia,Chordata,Vertebrata,Mammalia,Diprotodontia,,Phascolarctidae,Phascolarctos,Phascolarctos cinereus,"300,000",15 yrs,10 km/h,4-15 kg,60-85 cm,,"Nocturnal,Herbivore,Folivore,Arboreal,Altricial,Terrestrial,Viviparous,Territorial,Polygyny,Solitary,Not a migrant,starts with,Cute Animals,Slow Animals","{'Geography': {'Continents': 'Oceania', 'Countries': 'Australia', 'Regions': 'New South Wales, Queensland, South Australia, Victoria', 'Biogeographical realms': 'Australasian', 'Wwf biomes': 'Temperate broadleaf and mixed forest'}, 'Biome': ['Forest', 'Woodland', 'Riparian'], 'Climate': ['Tropical', 'Arid', 'Temperate']}","{'Lifestyle': 'Arboreal, Altricial, Terrestrial, Viviparous, Territorial', 'Seasonal behavior': 'Not a migrant'}","Herbivore,,Folivore","{'Mating behavior': 'Polygyny', 'Reproduction season': 'December-March', 'Pregnancy duration': '35 days', 'Baby carrying': '1 joey', 'Independent age': '1 year', 'Female name': 'female', 'Male name': 'male', 'Baby name': 'joey'}","{'Population trend': 'Decreasing', 'Population status': 'Vulnerable (VU)'}"
Giant Panda,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Ursidae,Ailuropoda,Ailuropoda melanoleuca,"1,800",20-30 yrs,32 km/h,70-160 kg,60-90 cm,1.2-1.9 m,"Crepuscular,Nocturnal,Herbivore,Folivore,Terrestrial,Altricial,Browsing,Zoochory,Viviparous,Polygyny,Solitary,Not a migrant,starts with,Cute Animals,Black And White Animals","{'Geography': {'Continents': 'Asia', 'Subcontinents': 'East Asia', 'Countries': 'China', 'Biogeographical realms': 'Indomalayan', 'Wwf biomes': 'Temperate broadleaf and mixed forest'}, 'Biome': ['Forest', 'Mountains', 'Montane forest'], 'Climate': ['Temperate']}","{'Group name': 'sleuth', 'Lifestyle': 'Terrestrial, Altricial, Browsing, Zoochory, Viviparous', 'Seasonal behavior': 'Not a migrant'}","Herbivore,,Folivore","{'Mating behavior': 'Polygyny', 'Reproduction season': 'March-May', 'Pregnancy duration': '5 months', 'Baby carrying': '1-2 cubs', 'Independent age': '18 months', 'Female name': 'sow', 'Male name': 'boar', 'Baby name': 'cub'}","{'Population trend': 'Increasing', 'Population status': 'Vulnerable (VU)'}"
Lion,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Panthera,Panthera leo,"20,000",12-25 yrs,56 km/h,120-249 kg,,140-250 cm,"Nocturnal,Crepuscular,Diurnal,Scavenger,Hypercarnivore,Terrestrial,Altricial,Pack hunters,Ambush predator,Apex predator,Nomadic,Territorial,Viviparous,Polygyny,Dominance hierarchy,Highly social,Social,Not a migrant,starts with,Aristocrats,Fast Animals","{'Geography': {'Continents': 'Africa, Asia', 'Subcontinents': 'Sub-Saharan Africa, South Asia', 'Countries': 'Angola, Benin, Botswana, Burkina Faso, Cameroon, Central African Republic, Chad, DR Congo, Ethiopia, India,', 'Biogeographical realms': ""Kenya, Malawi, Mozambique, Namibia, Niger, Nigeria, Senegal, Somalia, South Africa, South Sudan, Sudan, Swaziland, Tanzania, Uganda, Zambia, Zimbabwe, Cote d'Ivoire, Ghana, Guinea,  Guinea-Bissau, Mali, Rwanda, Togo"", 'Wwf biomes': 'Palearctic, Indomalayan, Afrotropical'}, 'Biome': ['Grassland', 'Savanna', 'Woodland', 'Mountains', 'Montane forest', 'Shrubland'], 'Climate': ['Tropical', 'Arid']}","{'Group name': 'pride, sault, troop, sawt', 'Lifestyle': 'Terrestrial, Altricial, Pack hunters, Ambush predator, Apex predator, Nomadic, Territorial, Viviparous', 'Seasonal behavior': 'Not a migrant'}","Scavenger,,Hypercarnivore","{'Mating behavior': 'Polygyny', 'Reproduction season': 'year-round, peak during the rainy season', 'Pregnancy duration': '110-119 days', 'Baby carrying': '3-6 cubs', 'Independent age': '2 years', 'Female name': 'lioness', 'Male name': 'lion', 'Baby name': 'cub'}","{'Population trend': 'Decreasing', 'Population status': 'Vulnerable (VU)'}"
Blue Whale,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Balaenopteridae,Balaenoptera,Balaenoptera musculus,10-25 Thou,80-90 yrs,20 km/h,100-160 t,,25-30 m,"Carnivore,Piscivores,Aquatic,Precocial,Natatorial,Viviparous,Cosmopolitan,Pursuit predator,Monogamy,Generally solitary,Migrating,starts with,Giant Animals","{'Geography': {'Continents': 'Africa, South America, Oceania, North America, Asia, Europe, Antarctica', 'Subcontinents': 'Sub-Saharan Africa, Caribbean Islands, South Asia, East Asia, Central America, Southeast Asia, Western Asia, North Africa', 'Countries': 'Angola, Argentina, Australia, Bahamas, Bangladesh, Benin, Brazil, Cameroon, Canada, Cape Verde,', 'Regions': ""Chile, China, Colombia, Comoros, Costa Rica, Cote d'Ivoire, Djibouti, Ecuador, El Salvador, Equatorial Guinea, Eritrea, Faroe Islands, France, Gabon, Ghana, Greece, Grenada, Guatemala, Iceland, India, Indonesia, Iran, Iraq, Ireland, Japan, Kenya, Madagascar, Malaysia, Maldives, Marshall Islands, Mauritania, Mauritius, Mexico, Morocco, Mozambique, Myanmar, Namibia,  New Zealand, Nicaragua, Nigeria, Norway, Oman, Pakistan, Palau, Panama, Peru, Philippines, Portugal, Russia, Sao Tomé and Principe, Senegal, Seychelles, Somalia, South Africa, Spain, Sri Lanka, Taiwan, Tanzania, Thailand, Timor-Leste, Togo, United Kingdom, United States, Uruguay, Western Sahara"", 'Oceans': 'Greenland, Kamchatka', 'Biogeographical realms': 'Atlantic Ocean, Pacific Ocean'}, 'Biome': ['Oceanic pelagic zone', 'Marine', 'Neritic zone'], 'Climate': ['Tropical', 'Temperate', 'Cold', 'Polar']}","{'Group name': 'pod, gam, herd, school, mod', 'Lifestyle': 'Aquatic, Precocial, Natatorial, Viviparous, Cosmopolitan, Pursuit predator', 'Seasonal behavior': 'Migrating'}","Carnivore,,Piscivores","{'Mating behavior': 'Monogamy', 'Reproduction season': 'winter or early spring', 'Pregnancy duration': '1 year', 'Baby carrying': '1 calf', 'Independent age': '8 months', 'Female name': 'cow', 'Male name': 'bull', 'Baby name': 'calf'}","{'Population trend': 'Increasing', 'Population status': 'Endangered (EN)'}"
Tiger,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Panthera,Panthera tigris,"2,154-3,159",10-15 yrs,96 km/h,65-306 kg,,200-390 cm,"Nocturnal,Carnivore,Cursorial,Terrestrial,Ambush predator,Altricial,Nomadic,Territorial,Viviparous,Apex predator,Polygyny,Solitary,Dominance hierarchy,Not a migrant,starts with,Camouflaged Animals,Dangerous Animals,Giant Animals","{'Geography': {'Continents': 'Asia', 'Subcontinents': 'South Asia, Southeast Asia, East Asia', 'Countries': 'Bangladesh, Bhutan, China, India, Indonesia, Laos, Malaysia, Myanmar, Nepal, Russia,', 'Regions': 'Thailand', 'Biogeographical realms': 'Tibet, Yunnan', 'Wwf biomes': 'Palearctic, Indomalayan'}, 'Biome': ['Forest', 'Rainforest', 'Montane forest', 'Riparian', 'Shrubland', 'Grassland'], 'Climate': ['Tropical', 'Temperate']}","{'Lifestyle': 'Cursorial, Terrestrial, Ambush predator, Altricial, Nomadic, Territorial, Viviparous, Apex predator', 'Seasonal behavior': 'Not a migrant'}",Carnivore,"{'Mating behavior': 'Polygyny', 'Reproduction season': 'November-April', 'Pregnancy duration': '103 days', 'Baby carrying': '1-7 cubs', 'Independent age': '18 mos-3 yrs', 'Baby name': 'cub'}","{'Population trend': 'Decreasing', 'Population status': 'Endangered (EN)'}"
Killer Whale,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Delphinidae,Orcinus,Orcinus orca,"50,000",30-100 yrs,45 km/h,3-6 t,,6-9 m,"Diurnal,Carnivore,Aquatic,Precocial,Cosmopolitan,Natatorial,Territorial,Viviparous,Apex predator,Pursuit predator,Polygynandry,Highly social,Partial Migrant,starts with,Vicious Animals,Black And White Animals","{'Geography': {'Continents': 'Africa, Oceania, Antarctica, North America, South America, Asia, Europe', 'Subcontinents': 'North Africa, Caribbean Islands, South Asia, Central America, Sub-Saharan Africa, Southeast Asia, East Asia, Western Asia', 'Countries': 'Algeria, Antigua and Barbuda, Argentina, Australia, Bahamas, Bangladesh, Barbados,  Belize, Benin, Brazil,', 'Regions': ""Brunei, Cambodia, Cameroon, Canada, Cape Verde, Chile, China, Colombia, Comoros, Congo, DR Congo, Costa Rica, Cote d'Ivoire, Cuba, Denmark, Djibouti, Dominica, Dominican Republic, Ecuador, El Salvador, Equatorial Guinea, Faroe Islands, Fiji, France, Gabon, Gambia, Ghana, Grenada, Guadeloupe, Guatemala, Guinea, Guinea-Bissau, Guyana, Honduras, Iceland, India, Indonesia, Iran, Ireland, Israel, Italy, Jamaica, Japan, Kenya, Kiribati, Liberia, Madagascar, Malaysia, Maldives, Marshall Islands, Mauritania, Mexico, Federated States of Micronesia, Monaco, Morocco, Mozambique, Myanmar, Namibia,  Nauru, Netherlands, New Zealand, Nicaragua, Nigeria, Norway, Oman, Pakistan, Palau, Panama, Papua New Guinea, Peru, Philippines, Portugal, Russia, Saint Kitts and Nevis, Saint Lucia, Saint Vincent and the Grenadines, Samoa, Senegal, Sierra Leone, Singapore, Solomon Islands, Somalia, South Africa, Spain, Sri Lanka, Suriname, Taiwan, Tanzania, Thailand, Timor-Leste, Togo, Tonga,  Trinidad and Tobago, Tunisia, United Arab Emirates, United Kingdom, United States, Uruguay, Vanuatu, Venezuela, Viet Nam, Western Sahara, Yemen, Germany"", 'Oceans': 'Newfoundland, Hawaii, Greenland', 'Biogeographical realms': 'Arctic Ocean, Atlantic Ocean, Pacific Ocean'}, 'Biome': ['Oceanic pelagic zone', 'Marine', 'Neritic zone', 'Estuaries'], 'Climate': ['Tropical', 'Temperate', 'Cold', 'Polar']}","{'Group name': 'pod, gam, herd, school, mod', 'Lifestyle': 'Aquatic, Precocial, Cosmopolitan, Natatorial, Territorial, Viviparous, Apex predator, Pursuit predator', 'Seasonal behavior': 'Partial Migrant'}",Carnivore,"{'Mating behavior': 'Polygynandry', 'Reproduction season': 'year-round, usually in summer', 'Pregnancy duration': '15-18 months', 'Baby carrying': '1 calf', 'Independent age': '2 years', 'Female name': 'cow', 'Male name': 'bull', 'Baby name': 'calf'}",{'Population status': 'Data deficient (DD)'}
Horse,Przewalski's Horse,,Animalia,Chordata,Vertebrata,,Mammalia,Perissodactyla,Equidae,,,,,,,"Viviparous,Precocial,Social,Herding,Dominance hierarchy,Domesticated,starts with","{'Geography': {}, 'Biome': ['Anthropogenic biome'], 'Climate': []}","{'Lifestyle': 'Viviparous, Precocial'}",,{},{}
Quokka,Animalia,Chordata,Vertebrata,Mammalia,Diprotodontia,,Macropodidae,Setonix,Setonix brachyurus,"7,850-17,150",5-10 yrs,32 km/h,2.5-5 kg,,40-54 cm,"Nocturnal,Herbivore,Folivore,Frugivore,Terrestrial,Jumping,Altricial,Browsing,Island endemic,Viviparous,Arboreal,Polygynandry,Social,Not a migrant,starts with,Cute Animals","{'Geography': {'Continents': 'Oceania', 'Countries': 'Australia', 'Regions': 'Western Australia', 'Biogeographical realms': 'Australasian', 'Wwf biomes': 'Mediterranean forests, woodlands, and scrub, Temperate broadleaf and mixed forest'}, 'Biome': ['Forest', 'Shrubland', 'Wetlands ', 'Riparian'], 'Climate': ['Temperate']}","{'Group name': 'court, herd, troop, mob', 'Lifestyle': 'Terrestrial, Jumping, Altricial, Browsing, Island endemic, Viviparous, Arboreal', 'Seasonal behavior': 'Not a migrant'}","Herbivore,,Folivore,,Frugivore","{'Mating behavior': 'Polygynandry', 'Reproduction season': 'January-March', 'Pregnancy duration': '1 month', 'Baby carrying': '1 joey', 'Independent age': '38-40 weeks', 'Female name': 'jill, roo', 'Male name': 'jack, boomer', 'Baby name': 'joey'}","{'Population trend': 'Decreasing', 'Population status': 'Vulnerable (VU)'}"
Cougar,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Puma,Puma concolor,"below 50,000",10-20 yrs,45 km/h,29-100 kg,60-90 cm,2-2.4 m,"Nocturnal,Carnivore,Terrestrial,Altricial,Ambush predator,Cursorial,Territorial,Viviparous,Apex predator,Polygyny,Solitary,starts with","{'Geography': {'Continents': 'South America, North America', 'Subcontinents': 'Central America', 'Countries': 'Argentina,  Belize, Bolivia, Brazil, Canada, Chile, Colombia, Costa Rica, Ecuador, El Salvador,', 'Biogeographical realms': 'Guatemala, Guyana, Honduras, Mexico, Nicaragua, Panama, Paraguay, Peru, Suriname, United States, Venezuela', 'Wwf biomes': 'Nearctic, Neotropical'}, 'Biome': ['Chaparral', 'Forest', 'Mountains', 'Rainforest', 'Shrubland', 'Rocky areas ', 'Montane forest', 'Woodland'], 'Climate': ['Tropical', 'Arid', 'Temperate', 'Cold']}","{'Lifestyle': 'Terrestrial, Altricial, Ambush predator, Cursorial, Territorial, Viviparous, Apex predator'}","Carnivore,","{'Mating behavior': 'Polygyny', 'Reproduction season': 'year-round, December-March in northern latitudes', 'Pregnancy duration': '90-96 days', 'Baby carrying': '1-6 kittens', 'Independent age': '40 days', 'Baby name': 'kitten'}","{'Population trend': 'Decreasing', 'Population status': 'Least concern (LC)'}"
Raccoon,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Procyonidae,Procyon,Procyon lotor,Unknown,2-20 yrs,24 km/h,2-14 kg,23-30 cm,40-70 cm,"Nocturnal,Crepuscular,Omnivore,Terrestrial,Altricial,Burrowing,Arboreal,Scansorial,Viviparous,Polygynandry,Social,Not a migrant,starts with,Smart Animals","{'Geography': {'Continents': 'North America', 'Subcontinents': 'Central America', 'Countries': 'Belize, Canada, Costa Rica, El Salvador,  Guatemala, Honduras, Mexico, Nicaragua, Panama, United States', 'Introduced countries': 'Austria, Azerbaijan, Belgium, Czech Republic, Estonia, France, Georgia, Germany, Hungary, Italy,', 'Biogeographical realms': 'Japan, Lithuania, Luxembourg, Netherlands, Romania, Russia, Serbia, Slovakia, Slovenia, Spain, Switzerland, Ukraine, Uzbekistan', 'Wwf biomes': 'Nearctic, Neotropical, Palearctic'}, 'Biome': ['Wetlands ', 'Anthropogenic biome', 'Urban wildlife', 'Bog', 'Forest', 'Marsh', 'Riparian', 'Suburban', 'Swamp', 'Woodland', 'Montane forest', 'Agricultural'], 'Climate': ['Tropical', 'Temperate', 'Cold']}","{'Group name': 'gaze, nursery, committee, smack, brace, troop', 'Lifestyle': 'Terrestrial, Altricial, Burrowing, Arboreal, Scansorial, Viviparous', 'Seasonal behavior': 'Not a migrant'}",Omnivore,"{'Mating behavior': 'Polygynandry', 'Reproduction season': 'February-June', 'Pregnancy duration': '2 months', 'Baby carrying': '4-5 kits', 'Independent age': '10 months', 'Female name': 'sow', 'Male name': 'boar', 'Baby name': 'kit, cub'}","{'Population trend': 'Increasing', 'Population status': 'Least concern (LC)'}"
Cheetah,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Acinonyx,Acinonyx jubatus,"6,674",10-20 yrs,112 km/h,21-72 kg,70-90 cm,112-150 cm,"Diurnal,Carnivore,Terrestrial,Cursorial,Altricial,Territorial,Viviparous,Pursuit predator,Ambush predator,Nomadic,Polygyny,Social,Solitary,Not a migrant,starts with,Spotted Animals,Fast Animals","{'Geography': {'Continents': 'Africa, Asia', 'Subcontinents': 'North Africa, Sub-Saharan Africa, Western Asia', 'Countries': 'Algeria, Angola,  Benin, Botswana, Burkina Faso, Central African Republic, Chad, Ethiopia, Iran, Kenya,', 'Biogeographical realms': 'Mali, Mozambique, Namibia, Niger, South Africa, South Sudan, Tanzania, Uganda, Zambia, Zimbabwe, Eritrea, Swaziland', 'Wwf biomes': 'Indomalayan, Palearctic, Afrotropical'}, 'Biome': ['Grassland', 'Savanna', 'Shrubland', 'Mountains'], 'Climate': ['Tropical', 'Arid']}","{'Group name': 'coalition', 'Lifestyle': 'Terrestrial, Cursorial, Altricial, Territorial, Viviparous, Pursuit predator, Ambush predator, Nomadic', 'Seasonal behavior': 'Not a migrant'}",Carnivore,"{'Mating behavior': 'Polygyny', 'Reproduction season': 'year-round', 'Pregnancy duration': '3 months', 'Baby carrying': '2-5 cubs', 'Independent age': '1.5-2 years', 'Female name': 'female', 'Male name': 'male', 'Baby name': 'cub'}","{'Population trend': 'Decreasing', 'Population status': 'Vulnerable (VU)'}"
Polar Bear,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Ursidae,Ursus,Ursus maritimus,22-31 Thou,25-30 yrs,40 km/h,150-800 kg,1.6 m,1.8-2.5 m,"Diurnal,Carnivore,Scavenger,Terrestrial,Altricial,Natatorial,Nomadic,Apex predator,Burrowing,Aquatic,Polygyny,Dangerous,Solitary,Hibernating,starts with,Canada Province Animals,Giant Animals,Snow White","{'Geography': {'Continents': 'North America, Europe, Asia', 'Countries': 'Canada, Norway, Russia, United States', 'Regions': 'Labrador, Manitoba, Newfoundland, Northwest Territories, Nunavut, Ontario, Québec, Yukon, Greenland, Yakutiya,', 'Oceans': 'Alaska, Newfoundland I', 'Biogeographical realms': 'Arctic Ocean', 'Wwf biomes': 'Nearctic, Palearctic'}, 'Biome': ['Coastal', 'Icecap', 'Marine', 'Intertidal zone', 'Oceanic pelagic zone', 'Neritic zone'], 'Climate': ['Polar', 'Cold']}","{'Group name': 'sloth, sleuth', 'Lifestyle': 'Terrestrial, Altricial, Natatorial, Nomadic, Apex predator, Burrowing, Aquatic', 'Seasonal behavior': 'Hibernating'}","Carnivore,,Scavenger","{'Mating behavior': 'Polygyny', 'Reproduction season': 'April-May', 'Baby carrying': '2 cubs', 'Independent age': '2-3 years', 'Female name': 'sow', 'Male name': 'boar', 'Baby name': 'cub'}",{'Population status': 'Vulnerable (VU)'}
Jaguar,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Panthera,Panthera onca,"15,000",11-20 yrs,80 km/h,56-96 kg,63-76 cm,1-1.8 m,"Crepuscular,Carnivore,Terrestrial,Altricial,Territorial,Polygyny,Solitary,Not a migrant,starts with","{'Geography': {'Continents': 'South America, North America', 'Subcontinents': 'Central America', 'Countries': 'Argentina,  Belize, Bolivia, Brazil, Colombia, Costa Rica, Ecuador, Guatemala, Guyana, Honduras,', 'Biogeographical realms': 'Mexico, Nicaragua, Panama, Paraguay, Peru, Suriname, United States, Venezuela', 'Wwf biomes': 'Nearctic, Neotropical'}, 'Biome': ['Forest', 'Rainforest', 'Wetlands '], 'Climate': ['Tropical', 'Arid', 'Temperate']}","{'Group name': 'prowl, leap', 'Lifestyle': 'Terrestrial, Altricial, Territorial,', 'Seasonal behavior': 'Not a migrant'}","Carnivore,","{'Mating behavior': 'Polygyny', 'Reproduction season': 'December-March', 'Pregnancy duration': '91-111 days', 'Baby carrying': '2-3 cubs', 'Independent age': '5-6 months', 'Baby name': 'cub'}","{'Population trend': 'Decreasing', 'Population status': 'Near Threatened (NT)'}"
Platypus,Animalia,Chordata,Vertebrata,Mammalia,Monotremata,,Ornithorhynchidae,Ornithorhynchus,Ornithorhynchus anatinus,Unknown,12-20 yrs,35 km/h,0.7-2.4 kg,,43-50 cm,"Nocturnal,Crepuscular,Carnivore,Semiaquatic,Altricial,Fossorial,Natatorial,Territorial,Oviparous,Burrowing,Polygynandry,Venomous,Solitary,Not a migrant,starts with,Weird Animals","{'Geography': {'Continents': 'Oceania', 'Countries': 'Australia', 'Regions': 'New South Wales, Queensland, South Australia, Tasmania, Victoria', 'Biogeographical realms': 'Australasian', 'Wwf biomes': 'Temperate broadleaf and mixed forest, Tropical moist forests'}, 'Biome': ['Lakes', 'Freshwater', 'Riparian', 'Rivers', 'Wetlands '], 'Climate': ['Temperate', 'Tropical']}","{'Lifestyle': 'Semiaquatic, Altricial, Fossorial, Natatorial, Territorial, Oviparous, Burrowing', 'Seasonal behavior': 'Not a migrant'}",Carnivore,"{'Mating behavior': 'Polygynandry', 'Reproduction season': 'June-October', 'Pregnancy duration': '10 days', 'Baby carrying': '1-2 puggles', 'Independent age': '4-5 months', 'Baby name': 'puggle'}","{'Population trend': 'Decreasing', 'Population status': 'Near Threatened (NT)'}"
Moose,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,Ruminantia,Cervidae,Alces,Alces alces,,15-25 years,32 km/h,270-720 kg,1.8-2.1 m,2.4-3.2 m,"Diurnal,Herbivore,Folivore,Lignivore,Terrestrial,Precocial,Browsing,Cursorial,Viviparous,Polygamy,Solitary,Dominance hierarchy,Partial Migrant,starts with,Canada Province Animals,Best Horns","{'Geography': {'Continents': 'Europe, North America, Asia', 'Subcontinents': 'East Asia, Central Asia', 'Countries': 'Belarus, Canada, China, Croatia, Czech Republic,  Estonia, Finland, Germany, Hungary, Kazakhstan,', 'Regions': 'Latvia, Lithuania, Moldova, Mongolia, Norway, Poland, Romania, Russia, Slovakia, Sweden, Ukraine, United States', 'Biogeographical realms': 'Alaska', 'Wwf biomes': 'Nearctic, Palearctic'}, 'Biome': ['Wetlands ', 'Bog', 'Forest', 'Lakes', 'Marsh', 'Riparian', 'Rivers', 'Shrubland', 'Swamp', 'Woodland', 'Mountains'], 'Climate': ['Temperate', 'Cold']}","{'Lifestyle': 'Terrestrial, Precocial, Browsing, Cursorial, Viviparous', 'Seasonal behavior': 'Partial Migrant'}","Herbivore,,Folivore,,Lignivore","{'Mating behavior': 'Polygamy', 'Reproduction season': 'September-October', 'Pregnancy duration': '8 months', 'Baby carrying': '1 calf', 'Independent age': '12 months', 'Female name': 'cowb', 'Male name': 'bull', 'Baby name': 'calf'}","{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Narwhal,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Monodontidae,Monodon,Monodon monoceros,"80,000",50 yrs,,"800-1,600 kg",,4-5.5m,"Carnivore,Piscivores,Aquatic,Precocial,Natatorial,Congregatory,Viviparous,Polygyny,Social,Dominance hierarchy,Migrating,starts with,Weird Animals","{'Geography': {'Continents': 'North America, Asia, Europe', 'Countries': 'Canada, Russia', 'Regions': 'Greenland', 'Oceans': 'Arctic Ocean, Atlantic Ocean', 'Biogeographical realms': 'Nearctic, Palearctic'}, 'Biome': ['Oceanic pelagic zone', 'Marine', 'Neritic zone', 'Benthic'], 'Climate': ['Cold', 'Polar']}","{'Group name': 'pod, gam, herd, school, mod', 'Lifestyle': 'Aquatic, Precocial, Natatorial, Congregatory, Viviparous', 'Seasonal behavior': 'Migrating'}","Carnivore,,Piscivores","{'Mating behavior': 'Polygyny', 'Reproduction season': 'March-May', 'Pregnancy duration': '15 months', 'Baby carrying': '1 calf', 'Independent age': '1 year', 'Female name': 'cow', 'Male name': 'bull', 'Baby name': 'calf'}",{'Population status': 'Near Threatened (NT)'}
